;;;Kraftr‰der;;;;;Personenkraftwagen ;;;;;;;;;;;;"Kraftomni-
busse";Lastkraftwagen ;;;;;;;;;Zugmaschinen;;;;"Sonstige
Kfz";"Nutzfahr-
zeuge
insgesamt
";Kraftfahrzeuge;;"Kraftfahrzeug-
anh‰nger"
;;09187 ROSENHEIM;25.525;24.724;389;412;3.600;179.520;60.140;84.780;27.717;6.883;8.886;35.678;5.597;24;18.113;64.072;669;233;13.984;4.624;7.650;91;520;221;317;560;1;16.889;1.046;13.389;2.454;1.079;32.185;237.230;884;36.632
;;09188 STARNBERG;11.353;11.092;155;106;1.573;90.226;26.081;41.549;17.722;4.874;7.739;21.087;2.579;31;11.998;31.968;649;74;5.638;1.931;3.130;38;165;44;121;208;1;3.615;154;2.709;752;536;9.863;111.442;801;13.798
;;09189 TRAUNSTEIN;16.774;16.273;180;321;2.215;122.873;40.822;59.452;17.929;4.670;5.576;23.661;3.773;49;10.385;42.534;676;192;9.023;2.902;4.623;49;332;154;228;732;3;14.766;861;11.573;2.332;1.069;25.050;164.697;906;27.486
;;09190 WEILHEIM-SCHONGAU;13.687;13.258;190;239;1.881;92.234;31.443;43.477;13.970;3.344;4.103;17.151;3.617;28;7.618;32.759;662;89;6.580;2.221;3.573;50;247;73;116;298;2;11.020;173;8.511;2.336;548;18.237;124.158;891;19.824
;RB ZUSAMMEN;;360.235;349.754;5.334;5.147;49.350;2.917.625;877.600;1.439.421;467.997;132.607;153.896;601.466;71.046;926;525.053;905.067;605;4.621;207.211;65.353;115.384;1.616;7.870;3.215;4.521;9.181;71;172.455;8.345;135.418;28.692;20.778;405.065;3.682.925;764;425.996
;RB NIEDERBAYERN;09261 LANDSHUT,STADT;4.368;4.276;54;38;600;39.775;12.727;19.678;6.043;1.327;1.865;6.612;810;31;4.719;13.552;528;90;2.463;713;1.415;29;76;62;70;98;-;790;47;630;113;193;3.536;47.679;633;4.207
;;09262 PASSAU,STADT;3.558;3.462;59;37;487;30.348;9.750;15.247;4.187;1.164;1.279;5.782;526;59;5.408;9.840;558;78;2.626;754;1.307;12;108;51;66;327;1;929;138;686;105;289;3.922;37.828;695;4.889
;;09263 STRAUBING,STADT;2.589;2.486;58;45;356;28.562;9.469;14.059;4.221;813;1.226;4.647;404;20;4.222;9.411;574;91;2.213;809;1.021;20;110;65;70;118;-;728;86;581;61;495;3.527;34.678;697;3.919
;;09271 DEGGENDORF;11.416;10.813;144;459;1.668;82.672;25.873;42.720;11.301;2.778;3.129;16.111;1.197;33;8.950;27.497;671;171;6.902;2.117;3.718;31;285;108;226;412;5;10.404;354;8.520;1.530;718;18.195;112.283;912;20.216
;;09272 FREYUNG-GRAFENAU;10.262;9.595;98;569;1.277;55.144;17.916;28.698;7.050;1.480;1.728;16.425;905;74;4.592;17.781;693;154;4.144;1.336;2.164;22;156;111;139;216;-;11.551;167;9.208;2.176;432;16.281;81.687;1.026;14.534
;;09273 KELHEIM;12.183;11.612;212;359;1.660;85.105;26.211;43.629;12.542;2.723;3.781;14.106;1.383;29;6.365;27.470;673;243;6.246;1.828;3.542;30;278;92;151;317;8;10.337;392;8.430;1.515;565;17.391;114.679;906;19.196
;;09274 LANDSHUT;16.545;15.682;304;559;2.183;115.426;33.545;59.415;17.802;4.664;5.008;20.209;2.289;12;9.634;37.859;697;154;9.180;2.645;5.043;104;464;205;245;471;3;14.991;442;12.498;2.051;874;25.199;157.170;949;28.533
;;09275 PASSAU;21.249;20.235;286;728;2.695;135.196;44.217;68.046;18.284;4.649;5.139;28.170;2.186;2;10.782;46.075;683;342;9.585;3.175;4.804;64;465;167;325;583;2;20.227;832;15.676;3.719;912;31.066;187.511;948;36.164
;;09276 REGEN;8.099;7.568;89;442;971;51.850;17.081;26.738;6.671;1.360;1.578;15.163;816;19;4.369;16.980;665;97;3.946;1.285;2.165;18;140;47;85;204;2;9.984;84;8.301;1.599;423;14.450;74.399;955;13.671
;;09277 ROTTAL-INN;12.872;12.018;173;681;1.627;87.608;26.916;45.154;12.697;2.841;3.845;14.827;1.631;29;9.626;28.333;701;219;7.626;2.437;3.973;65;415;116;186;426;8;16.718;359;14.462;1.897;893;25.456;125.936;1.008;25.275
;;09278 STRAUBING-BOGEN;10.456;9.758;134;564;1.334;72.448;22.964;36.900;10.228;2.356;3.071;13.288;1.113;125;4.238;23.857;695;74;5.264;1.674;2.860;37;220;94;121;255;3;13.813;313;11.105;2.395;547;19.698;102.602;985;20.530
;;09279 DINGOLFING-LANDAU;9.696;9.129;215;352;1.290;73.469;18.274;40.503;11.878;2.814;3.321;13.259;1.180;25;9.450;21.071;724;158;4.579;1.540;2.356;24;195;84;113;264;3;10.102;662;8.054;1.386;557;15.396;98.561;971;19.457
;RB ZUSAMMEN;;123.293;116.634;1.826;4.833;16.148;857.603;264.943;440.787;122.904;28.969;34.970;168.599;14.440;458;82.355;279.726;670;1.871;64.774;20.313;34.368;456;2.912;1.202;1.797;3.691;35;120.574;3.876;98.151;18.547;6.898;194.117;1.175.013;917;210.591
;RB OBERPFALZ;09361 AMBERG,STADT;2.356;2.284;38;34;321;25.268;9.084;12.086;3.172;926;1.015;3.665;425;30;3.008;8.859;592;40;1.654;579;832;13;71;30;54;74;1;691;134;464;93;136;2.521;30.145;706;3.389
;;09362 REGENSBURG,STADT;7.743;7.546;102;95;1.099;83.823;26.648;41.983;11.309;3.883;3.460;14.619;1.570;91;18.972;26.029;526;399;6.375;1.955;3.560;68;261;99;147;283;2;1.450;527;846;77;998;9.222;100.788;632;8.099
;;09363 WEIDEN I.D.OPF.,STADT;2.703;2.598;43;62;426;26.649;9.701;12.840;3.401;707;1.017;3.916;420;37;3.834;9.199;617;42;2.003;733;968;15;123;20;55;87;2;720;95;512;113;185;2.950;32.302;748;3.737
;;09371 AMBERG-SULZBACH;10.376;9.919;97;360;1.340;72.355;25.109;35.869;8.921;2.456;2.717;11.183;1.359;2;4.830;24.642;690;240;4.612;1.465;2.505;37;236;51;93;225;-;10.910;237;8.352;2.321;459;16.221;98.952;943;17.599
;;09372 CHAM;15.178;14.220;161;797;1.898;92.869;30.918;47.360;11.788;2.803;2.902;18.453;1.086;38;8.403;29.466;709;143;8.453;2.532;4.260;67;394;185;353;658;4;19.115;486;14.964;3.665;885;28.596;136.643;1.044;26.167
;;09373 NEUMARKT I.D.OPF.;13.867;13.274;161;432;1.817;93.822;30.743;48.274;11.681;3.124;3.632;14.150;1.738;28;11.322;28.789;674;218;8.003;2.695;4.123;48;355;133;227;420;2;13.215;503;10.528;2.184;736;22.172;129.861;932;21.942
